"Question","Intent","Entity"
"회사에서 근무용으로 입을수있는 유행에 민감하지않은 디자인으로 추천해주세요","recommend:0.8231927286719988",""
"30대추천 원피스","greeting:0.597490300467139",""
"지금 유행하고 재킷을 브랜드별로 알려줘","greeting:0.5658473201042994",""
"원피스 추천해줘","recommend:0.475484744069194",""
"최신트랜드","greeting:0.597490300467139",""
"정장 바지를 사고 싶은데요","recommend:0.7154606273882157",""
"심플한 느낌의 회색 코트 좀 추천해줄래","recommend:0.475484744069194",""
"77사이즈","greeting:0.597490300467139",""
"유즘 유행하는 스타일이 뭔가요?","recommend:0.7212068542142387",""
"약간 스판제품 인지","greeting:0.597490300467139",""
"제 키가 00정도인데 무릎 기장이 오는 원피스 추천해주세요","recommend:0.9038273185073182",""
"가격대에 맞는 정장용 원피스를 추천해죠","recommend:0.475484744069194",""
"요즘 유행하는 원피스는 어떤게 잇나요","recommend:0.564244733081403",""
"현재 가장 인기있는 아이템은?","greeting:0.41930898093569974",""
"캐주얼한 청남방 좀 찾아줘","greeting:0.597490300467139",""
"면티셔츠","greeting:0.597490300467139",""
"유행타지 않는 일자형 바지 추천해 줘.","recommend:0.4768814038855308",""
"블라우스","greeting:0.597490300467139",""
"요새 잘나가는 스타일이 어떤 거에요","greeting:0.47228931246749245",""
"블라우스 사이즈는 어떻습니까?","greeting:0.41930898093569974",""
"원피스가격 얼마를  예상하고있는데 이가격에맞는옷추천","greeting:0.47228931246749245",""
"봄나들이 갈건데.추천해주세요","recommend:0.904844251943978",""
"제 체형에 맞는 상품인지, 실제로 어떤 재질인지","greeting:0.6381190835965007",""
"트랜드","greeting:0.597490300467139",""
"최근 트렌드에 부합하는 아이템은?","greeting:0.41930898093569974",""
"신상품을 할인구매가능한가요?","recommend:0.6193400558600594",""
"계절상품추천","greeting:0.597490300467139",""
"사이즈. 특성","greeting:0.5381544297882906",""
"치마무릎선..긴팔..간절기..정장스타일","greeting:0.597490300467139",""
"스타일","greeting:0.597490300467139",""
"저에게 어울릴만하 셔츠좀 추천해주세요","recommend:0.8231927286719988",""
"심플한 디자인 원피스 추천해주세요","recommend:0.8231927286719988",""
"인기상품","greeting:0.597490300467139",""
"요즘 잘나가는거 뭐에요","greeting:0.597490300467139",""
"와이프 선물용 원피스 추천해줘","recommend:0.475484744069194",""
"체크무늬 유행 자켓 보여줘","greeting:0.597490300467139",""
"금주 베스트아이템 보여주세요","recommend:0.564244733081403",""
"여성 재킷","greeting:0.597490300467139",""
"어제 도봉순이 입고나온 보라색 뜨개니트 있나요?","recommend:0.7212068542142387",""
"원피스","greeting:0.597490300467139",""
"회사에서 입을만한옷","greeting:0.597490300467139",""
"요즘 날씨에 어울리는 트렌디한 원피스가 무엇이니?","greeting:0.3924075737483423",""
"작은키에 어울리는 원피스","greeting:0.597490300467139",""
"아기용품저렴한상품","greeting:0.597490300467139",""
"좋은거 있어. 가디건 ","greeting:0.5381544297882906",""
"오피스룩으로 입을 아이템 추천 바랍니다","greeting:0.4629340677148695",""
"여성 셔츠 추천","greeting:0.597490300467139",""
"남성 정장","greeting:0.597490300467139",""
"와이프 생일인데. 선물 추천 부탁해","greeting:0.5381544297882906",""
"루즈핏 원피스 중에 예쁜옷 추천해줘","recommend:0.475484744069194",""
"소재와 사용계절 팔뚝 통","greeting:0.597490300467139",""
"요즘 제일 인기있는 여자셔츠가 뭐야?","greeting:0.37094312458901213",""
"반팔 셔츠","greeting:0.597490300467139",""
"신축성 좋은 바지로 무엇이 있나요?","recommend:0.7642019932305979",""
"조끼 추천","greeting:0.597490300467139",""
"요즘 인기있는 아이템은?","greeting:0.41930898093569974",""
"스트라이프 셔츠 추천해줘","recommend:0.475484744069194",""
"최근 핫한 아이템 컬러는","greeting:0.597490300467139",""
"색상과 스타일이 유사한 제품 소개해줘","greeting:0.47228931246749245",""
"최근에 제일 인기있는 코트가 뭔가요?","recommend:0.5647830399391108",""
"원피스 추천","greeting:0.597490300467139",""
"세일하는 상품 중에서 인기가 많은 상품은 뭐가있나요?","recommend:0.5647830399391108",""
"저렴한제품","greeting:0.597490300467139",""
"쉬폰 플라워패턴 여름 원피스를 추천해줘","recommend:0.475484744069194",""
"봄가을에 사무실에서 입을만한 엉덩이를 덮는 기장의 가디건을 찾아줘","greeting:0.5658473201042994",""
"티","greeting:0.597490300467139",""
"올해 트렌드상품 추천해죠","recommend:0.475484744069194",""
"올해유행한 재킷","greeting:0.597490300467139",""
"핏이 어떤가요? 활동하기 좋은 오버핏으로 추천 해 주세요","recommend:0.6471019917886671",""
"블랙 원피스","greeting:0.597490300467139",""
"내 체형에 맞는 최신 유행 상품을 좀 보여줘","greeting:0.5658473201042994",""
"요새 인기 상품이 뭔지 알려줘","greeting:0.47228931246749245",""
"프릴 원피스","greeting:0.597490300467139",""
"봄에 인기 많은 상품","greeting:0.597490300467139",""
"요즘 유행하는 스타일이 뭐지?","recommend:0.4771903453788314",""
"추천상품","greeting:0.597490300467139",""
"기본 스타일 자켓","greeting:0.597490300467139",""
"베스트 집업 니트 보여줘","greeting:0.597490300467139",""
"요즘 인기 스타일은?","greeting:0.41930898093569974",""
"요즘 유행하는 트렌드 상품","greeting:0.597490300467139",""
"직장맘을 위한 오피스룩 추천해주세요","recommend:0.8536922034131657",""
"스타일","greeting:0.597490300467139",""
"요즘 유행하는 스타일, 칼라가 뭐야?","greeting:0.4122823380175974",""
"요즘 유행하는 스타일, 칼라가 뭐야?","greeting:0.4122823380175974",""
,"",""
"현재 가장 인기있는 아이템은?","greeting:0.41930898093569974",""
"캐주얼한 청남방 좀 찾아줘","greeting:0.597490300467139",""
"면티셔츠","greeting:0.597490300467139",""
"유행타지 않는 일자형 바지 추천해 줘.","recommend:0.4768814038855308",""
"블라우스","greeting:0.597490300467139",""
"요새 잘나가는 스타일이 어떤 거에요","greeting:0.47228931246749245",""
"블라우스 사이즈는 어떻습니까?","greeting:0.41930898093569974",""
"원피스가격 얼마를  예상하고있는데 이가격에맞는옷추천","greeting:0.47228931246749245",""
"봄나들이 갈건데.추천해주세요","recommend:0.904844251943978",""
"트랜드","greeting:0.597490300467139",""
"최근 트렌드에 부합하는 아이템은?","greeting:0.41930898093569974",""
"신상품을 할인구매가능한가요?","recommend:0.6193400558600594",""
"어떤 디자인을 원하시나요","recommend:0.6192681545865247",""
"어떤 스타일에 가장 어울리게 입을 수 있는다..","greeting:0.4629340677148695",""
"다른 스타일도 보여주세요","recommend:0.564244733081403",""
"계절상품추천","greeting:0.597490300467139",""
"치마무릎선..긴팔..간절기..정장스타일","greeting:0.597490300467139",""
"스타일","greeting:0.597490300467139",""
"저에게 어울릴만하 셔츠좀 추천해주세요","recommend:0.8231927286719988",""
"심플한 디자인 원피스 추천해주세요","recommend:0.8231927286719988",""
"인기상품","greeting:0.597490300467139",""
"요즘 잘나가는거 뭐에요","greeting:0.597490300467139",""
"와이프 선물용 원피스 추천해줘","recommend:0.475484744069194",""
"체크무늬 유행 자켓 보여줘","greeting:0.597490300467139",""
"금주 베스트아이템 보여주세요","recommend:0.564244733081403",""
"어제 도봉순이 입고나온 보라색 뜨개니트 있나요?","recommend:0.7212068542142387",""
"원피스","greeting:0.597490300467139",""
"회사에서 입을만한옷","greeting:0.597490300467139",""
"요즘 날씨에 어울리는 트렌디한 원피스가 무엇이니?","greeting:0.3924075737483423",""
"작은키에 어울리는 원피스","greeting:0.597490300467139",""
"아기용품저렴한상품","greeting:0.597490300467139",""
"요즘 인기있는 원피스","greeting:0.597490300467139",""
"오피스에서 입을수 있는 상품","greeting:0.597490300467139",""
"오피스룩에 어울리는 블라우스 추천해주세요","recommend:0.8231927286719988",""
"내 체형에 제일 잘 어울리는 스타일을 추천해줘","recommend:0.5305807807095347",""
"회사에 입고다닐 무난한 브이넥 니트좀 추천해 주세요","recommend:0.9564612462157038",""
"내 기분에 맞는 옷을 추천해줘","recommend:0.5305807807095347",""
"디피되어있는거 어디있어요?","recommend:0.5647830399391108",""
"블랙 가디건 보여줘","greeting:0.597490300467139",""
"요즘 유행하는 건가요?","recommend:0.5647830399391108",""
"원피스 득템","greeting:0.597490300467139",""
"원피스 추천해줘","recommend:0.475484744069194",""
"데일리 룩으로 적당한 원피스","greeting:0.597490300467139",""
"어떤 스타일에 추천하는 상품인가요?","recommend:0.5647830399391108",""
"163에 48키로인데 정사이즈로 사면 되나요?","recommend:0.5647830399391108",""
"화려하지만 아름다운 거 있어요?","recommend:0.5647830399391108",""
"요즘 많이 나가는 인기많은 상품이 무엇인가요?","recommend:0.7642019932305979",""
"직장에서 입을 만한 심플한 디자인의 원피스를 판매순으로 추천해줘","recommend:0.6747333812460166",""
"신상품 입고시기는?","recommend:0.3710854325059521",""
"여자 니트 보여줘","greeting:0.597490300467139",""
"간절기자켓","greeting:0.597490300467139",""
,"",""
"브랜드 검색","greeting:0.597490300467139",""
"봄에 하객룩으로 입을 만한 원피스 없을까요?","recommend:0.7516921714014907",""
"직장인 출근복장  셔츠 블라우스 추천","greeting:0.597490300467139",""
"예쁜  블라우스 추천","greeting:0.597490300467139",""
"요즘 유행 스타일","greeting:0.597490300467139",""
"여성원피스","greeting:0.597490300467139",""
"요즘 인기있는 스타일","greeting:0.597490300467139",""
"여성의류","greeting:0.597490300467139",""
"이월상품 할인율좋은상품","greeting:0.597490300467139",""
"계절","greeting:0.597490300467139",""
"요즘 유행 트렌드","greeting:0.597490300467139",""
"요즘 평가 및 선호도가 높은 상품은 무엇입니까","greeting:0.5658473201042994",""
"검정색 미니원피스를 추천해주세요","recommend:0.8231927286719988",""
"블랙 미니 드레스","greeting:0.597490300467139",""
"청순한 데이트룩 추천해주세요","recommend:0.8231927286719988",""
"44사이즈를 판매하는 브랜드","greeting:0.597490300467139",""
"계절에 맞는 소재로 된 아이템 추천해주세요","recommend:0.8231927286719988",""
"요새가장인기있는 품목은?","greeting:0.41930898093569974",""
"점퍼 남성용 알려줘","greeting:0.597490300467139",""
"브랜드","greeting:0.597490300467139",""
"저렴하고 깔끔한 스타일의 셔츠","greeting:0.597490300467139",""
"봄, 가을에 외출할 때 가볍게 입을 수 있는 점퍼 있어요?","recommend:0.8365695257918139",""
"계절에 어울리는 원피스 추천을 부탁해","greeting:0.5658473201042994",""
"매장위치","greeting:0.597490300467139",""
"요즘 어떤 스타일의 원피스가 유행입니까?","greeting:0.41930898093569974",""
"요번 휴가때 해변에서 입을 원피스 추천해라~","recommend:0.7917720823000888",""
"요즘 유행하는 스타일은?","greeting:0.41930898093569974",""
"추천해주세요","recommend:0.8231927286719988",""
"유행하는 스타일 저렴한가격","greeting:0.597490300467139",""
"가성비가 가장 우수한 상품은 무엇인가요?","recommend:0.6193400558600594",""
"가장 판매량이 많은 점퍼는?","recommend:0.38457349115882056",""
,"",""
"안녕","greeting:0.9377427104610989",""
"스커트 추천해주세요","recommend:0.9534914363790464",""
"안녕","greeting:0.9377427104610989",""
,"",""
"바지 추천해줘","recommend:0.5389725570518697",""
"안녕","greeting:0.9377427104610989",""
"바지추천","greeting:0.7465353403385255",""
"청바지 추천좀","greeting:0.7465353403385255",""
"청바지 추천좀","greeting:0.7465353403385255",""
"청바지 추천좀","greeting:0.7465353403385255",""
"청바지 추천좀","greeting:0.7465353403385255",""
"청바지 추천좀","greeting:0.7465353403385255",""
"청바지 추천좀","greeting:0.7465353403385255",""
"hi lotte","greeting:0.9686150535425928","USER:GREETING"
"바지 추천해줘","recommend:0.5389725570518697",""
"안녕","greeting:0.9377427104610989",""
"바지 추천해줘","recommend:0.5389725570518697",""
,"",""
,"",""
,"",""
,"",""
,"",""
,"",""
"안녕하세요","greeting:0.5263850192478159",""
"메롱","recommend:0.7763355145269978",""
"잘지내나","recommend:0.7763355145269978",""
"안녕안녕","recommend:0.7763355145269978",""
,"",""
"여성 원피스 ","recommend:1",""
"플레어 스커트","recommend:0.8236631243721947","PRODUCT:SKIRT"
"사이즈 문의","recommend:0.7763355145269978",""
"지금 유행하는 패턴의 원피스를 추천해 주세요 ","recommend:0.9977443059904596",""
"10만원 이하 코트가 있나요?","recommend:0.9633519033009584",""
"요즘 유행하는 스타일은?","recommend:0.9891527616312622",""
"쉬폰 원피스 추천해줘","recommend:0.9960701636148419",""
"브랜드","recommend:0.7763355145269978",""
"브랜드","recommend:0.7763355145269978",""
"가격대","recommend:0.7763355145269978",""
"청멜빵","recommend:0.7763355145269978",""
"티셔츠","recommend:0.7763355145269978",""
"귀여운 스타일에 어울리는 옷은 뭐가 있어요?","recommend:0.9949312367770825",""
"요즘 인기상품은?","recommend:0.9749501983345545",""
"소재는 어떻게 되나요?","recommend:0.9620755567035485",""
"요새 가장 인기가 좋은 상품이 어떤 건가요?","recommend:0.9897148762212784",""
"쌀쌀한 날씨에 어울리는 점퍼","recommend:0.8677151141522252",""
"인기 많나요?","recommend:0.9412172446571925",""
"요즘 유행하고 있는 품목이 무엇인가요?","recommend:0.9956522441626859",""
"핫 원피스","recommend:0.9836813333045299",""
"사이즈","recommend:0.7763355145269978",""
"요즘 가장 인기있는 티셔츠 브랜드, 모델은?","recommend:0.9654665326500991",""
"요즘 가장 인기있는 티셔츠 브랜드, 모델은?","recommend:0.9654665326500991",""
"요즘 유행하는 스커트","recommend:0.9684293125790309","PRODUCT:SKIRT"
"셔츠원피스 보여줘","recommend:0.9954691235005038",""
"하객패션 추천좀","recommend:0.9450506142177164",""
"요즘 원피스 트렌드는 어떤스타일이 있나요?","recommend:0.9992257475188624",""
"아방한 스타일 보여줘","recommend:0.9809767675296862",""
"여행가서 입을거 보여줘","recommend:0.9547565578803443",""
"까만 러플 블라우스","recommend:0.8807883664199857",""
"까만 니트 원피스","recommend:0.9908878592169807",""
"쉬폰 플릿츠 꽃무늬 원피스 노란색 있어?","recommend:0.9858560895735857",""
"부케 받을 때 입을 옷 좀","recommend:0.9378832677280853",""
"세일러 카라 원피스 보여줘","recommend:0.9950138354208632",""
"하늘색 A라인 원피스 ","recommend:0.9836813333045299",""
"15만원 이하 까만 스커트 보여줘","recommend:0.9651580591621894","PRODUCT:SKIRT"
"엠파이어 라인 있어?","recommend:0.8539093921066966",""
"아이린 블라우스 갖고 싶어염","recommend:0.8937551840482891",""
"바다가서 입을거 갖고 싶다","recommend:0.7986143536829424",""
"스킨톤 도톰한 니트 사고 싶어여","recommend:0.9199106206330099",""
"케이프 쟈켓 갖고 싶음","recommend:0.7986143536829424",""
"스트라이프 원피스 볼랭","recommend:0.9780595345590288",""
"스타일","recommend:0.9135232189442326",""
"사이즈는 정사이즈인가요? 색상이 화면과 같은지요?","recommend:0.9888094947328294",""
"페미닌한 스타일 찾아줘","recommend:0.9164927227375106",""
"비가 오니 우의가 필요해","recommend:0.9171420197382626",""
"왜 미안해?","recommend:0.8539093921066966",""
"","",""
"비오는 날 스커트 추천해줘","recommend:0.9747523708608025","PRODUCT:SKIRT"
"갈색","recommend:0.7763355145269978",""
"뭘...","recommend:0.7763355145269978",""
"안녕?","greeting:0.9342369762798152",""
,"",""
,"",""
"안녕","greeting:1",""
"안녕","greeting:1",""
,"",""
,"",""
"안녕","greeting:1",""
"ㅇ휼ㄹ","recommend:0.7763355145269978",""
,"",""
,"",""
"안너","recommend:0.7763355145269978",""
"근데 ","recommend:0.7763355145269978",""
,"",""
"다음","recommend:0.7763355145269978",""
,"",""
"ㅇㅇ","recommend:0.7763355145269978",""
,"",""
"안녕","greeting:1",""
"원피스를 사고 싶어요","recommend:0.9946120999679922",""
"바지를 사고 싶어요.","recommend:0.9536616257754658",""
"안녕하세요","greeting:0.5263850192478159",""
"Hi","greeting:1",""
"","",""
"예쁜 바지 없어?","recommend:0.9630520815965421",""
"Ww","recommend:0.7763355145269978",""
"안뇽","recommend:0.7763355145269978",""
"넌 누구니?","recommend:0.8539093921066966",""
"비가 오네요","recommend:0.8553125123437777",""
,"",""
"안농","recommend:0.5960370580904901",""
"안뇽","greeting:1",""
,"",""
"파란색 스커트를 추천해줘","recommend:0.9756216115180771","generic_color:파란색,product:스커츠"
,"",""
,"",""
"파란색 스커트를 추천해줘","recommend:0.9753750798850407","generic_color:파란색,product:스커츠"
"응","greeting:0.3842308119349728","user_answer:응"
"전 상무님 파이팅 하세요!","greeting:0.6974908748064461",""
"Hi","greeting:1",""
,"",""
"안녕","greeting:1",""
"스커트 추천해주세요","recommend:1","product:스커츠"
,"",""
"짧은거","greeting:0.3842308119349728",""
"No","greeting:0.9272306833160416","user_answer:아니"
"안녕","greeting:1",""
"스커트 추천해줘","recommend:1","product:스커츠"
"미니","greeting:0.38949087546853023","skirt_length:small"
"Thiago, it doesn't work! Hihi","greeting:0.4107718284540363",""
"안 된다구 ㅋ","greeting:0.872344720549099",""
"쇼트","greeting:0.3842308119349728",""
"Short","greeting:0.3842308119349728",""
"Mini","greeting:0.3842308119349728",""
"H라인","greeting:0.29711586039464744","skirt_style:H라인"
"파랑","greeting:0.3842308119349728",""
"Blue","greeting:0.3842308119349728",""
"블루","greeting:0.3842308119349728","generic_color:파란색"
"파란색","recommend:1","generic_color:파란색"
"안녕","greeting:1",""
,"",""
"봄 스커트 추천해줘","recommend:0.7661194092824901","season:봄,product:스커트"
,"",""
"안녕하세요","greeting:1",""
"안녕","greeting:1",""
"가방 추천도 가능한가요?","recommend:0.913930980549708",""
"안녕","greeting:1",""
"스커트 추천해줘","recommend:1","product:스커트"
"스커츠 추천해줘","recommend:0.7682810903951652","product:스커트"
"안녕","greeting:1",""
"스커트 추천해줘","recommend:1","product:스커트"
"안녕","greeting:1",""
"안녕","greeting:1",""
"치킨 먹고 싶어","recommend:0.5189492263424583",""
"통닭","greeting:0.38428380719090033",""
"안녕","greeting:1",""
"스커트 추천해줘","recommend:1","product:스커트"
"시슬리 있어?","greeting:0.3018767915492669",""
"저렴한거 찾아줘","greeting:0.25406708568823316",""
"봄 스커트 알려줘","recommend:0.6198560110512888","season:봄,product:스커트"
"봄에 어울리는거","greeting:0.24957420862913626","season:봄"
"짧은거 보여줘","recommend:0.3971347582670036",""
"스커트 중에 h라인 추천해줘","recommend:0.6901322624889765","skirt_style:H라인,product:스커트"
"파란색 추천해줘","recommend:0.9246347781467384","generic_color:파란색"
"봄","greeting:0.38486551584878254","season:봄"
"안녕","greeting:1",""
"스커트 추천해 주세요","recommend:1","product:스커트"
"스커트 추천해줘","recommend:1","product:스커트"
"스커트 추천해줘","recommend:1","product:스커트"
"봄 스커트 추천","recommend:0.9174230029101454","season:봄,product:스커트"
"Tsalles","greeting:0.3723577934741212",""
"스커트 추천해주세요","recommend:1","product:스커트"
"스커트 추천해줘","recommend:1","product:스커트"
"스커트 추천해줘","recommend:1","product:스커트"
"스커트 추천해줘","recommend:1","product:스커트"
"안녕","greeting:1",""
"봄 스커트 추천","recommend:0.9174230029101454","season:봄,product:스커트"
"봄 스커트 추천해줘","recommend:0.7696780418207704","season:봄,product:스커트"
"안녕","greeting:1",""
"이제 바지 추천 가능한가요?","recommend:0.9347077542696125","product:바지"
"스커츠 추천해줘","recommend:0.7692654322017983","product:스커트"
"마음에 들어요","chit_chat_sorry:0.202525989128392",""
"치마 다시 추천해 주세요","recommend:0.8670340873949566","product:스커트"
"스커트 찾아","recommend:0.5177007538502135","product:스커트"
"스커트 추천해줘","recommend:1","product:스커트"
"브라운","greeting:0.3739524214328665","generic_color:갈색"
"봄","greeting:0.3751877913591293","season:봄"
"아니","greeting:0.3739524214328665","user_answer:아니"
"네","greeting:0.3739524214328665","user_answer:응"
"H라인 찾아요","recommend:0.7048621337689677","skirt_style:H라인"
"핑크요","greeting:0.37581398374171415","generic_color:분홍색"
"간절기에 입으면 좋겠어요","query_product:0.39971923891067757","generic_timing_weather:간절기"
"봄에 입고 싶어요","query_product:0.37461313279088904","season:봄"
"짧은거요","recommend:0.24481119999892262","skirt_length:숏"
"안녕하세요.","greeting:0.988800480538485",""
"스커트 추천해주세요.","recommend:0.9870922618294519","product:스커트"
"파란색","recommend:1","generic_color:파란색"
"봄이요","greeting:0.37614033475654307","season:봄"
"아니","greeting:0.3758854552542125","user_answer:아니"
"이제는 추천해 줘","generic_trend_recommend:0.23852376518065305",""
"아니","greeting:0.3758854552542125","user_answer:아니"
"안녕","greeting:1",""
"바지 추천해줘","recommend:1","product:바지"
"안녕","greeting:1",""
"안녕","greeting:1",""
"안녕","greeting:1",""
"스커트 추천","recommend:0.95352672314737","product:스커트"
"브러운","greeting:0.43108749148122344",""
"브라운","greeting:0.43108749148122344","generic_color:갈색"
"봄","greeting:0.4313009630899697","season:봄"
"봄","greeting:0.4313009630899697","season:봄"
"라지","greeting:0.43108749148122344","skirt_length:라지"
"아니","greeting:0.43108749148122344","user_answer:아니"
"안녕","greeting:1",""
"안녕","greeting:1",""
"스코트 찾아줘","recommend:0.48490297573393193",""
"스커트","greeting:0.39000876731284145","product:스커트"
"안녕","greeting:1",""
"스커트 찾아줘","recommend:1","product:스커트"
"숏길이","greeting:0.43779466896966324","skirt_length:숏"
"레드","greeting:0.43108749148122344",""
"봄 제품","greeting:0.4252745135091015","season:봄"
"브라운","greeting:0.4315070598946201","generic_color:갈색"
"아니","greeting:0.4315070598946201","user_answer:아니"
"아니","greeting:0.4315070598946201","user_answer:아니"
"안녕","greeting:1",""
"안녕","greeting:1",""
,"",""
"스커트를 추천해 주세요","recommend:0.9828939284014301","product:스커트"
"짧은 스커트요","generic_trend_recommend:0.4519577711701876","product:스커트"
"안녕","greeting:1",""
"스커트 추천","recommend:0.9823055553706359","product:스커트"
,"",""
"저기요...","greeting:0.9066964059339782",""
"아저씨..","greeting:0.45424998723459936",""
"아줌마...","greeting:0.9066964059339782",""
"나한테 왜 이래?","recommend:0.5947275850294853",""
"Her","greeting:0.4401245310197022",""
"저기요","recommend:0.2981328385206636",""
"저..어...기....요!!??","greeting:0.8044974091371175",""
"이 누나가 왜 이래!!!!!!","recommend:0.40486769413613616",""
"안녕 !!!","greeting:0.986852279377742",""
"안녕","greeting:1",""
"스커트 추천","recommend:0.9823055553706359","product:스커트"
"안녕","greeting:1",""
"스커트 추천해줘","recommend:1","product:스커트"
"누구","greeting:0.4401245310197022",""
"안녕","greeting:1",""
"스커트 추천해줘","recommend:1","product:스커트"
"안녕","greeting:1",""
"스커트 추천해줘","recommend:1","product:스커트"
,"",""
"나이키 있어?","recommend:0.6343466873456747",""
"나이키나 컨버스 보여줘","recommend:0.6405226996275638",""
,"",""
"안녕~","greeting:0.987094680648961",""
"스커트 추천 해줘","recommend:0.993460278648737","product:스커트"
"남색 치마","greeting:0.42923069640887807","product:스커트"
"봄 치마","greeting:0.32526778140225854","season:봄,product:스커트"
"블루","greeting:0.4401245310197022","generic_color:파란색"
"H라인","greeting:0.45070950466514587","skirt_style:H라인,brand:라인"
"무릎까지","greeting:0.4404657308109576",""
"...","greeting:0.9066964059339782",""
,"",""
"안녕!","greeting:0.9864959902167939",""
"안녕","greeting:1",""
"안녕하세요","greeting:1",""
"안녕","greeting:1",""
"신발 사고 싶어","recommend:0.972291354678349",""
"원피스","recommend:1","product:원피스"
"스커트 추천해줘","recommend:1","product:스커트"
